r1_low,r1_high,r1_center,r2_low,r2_high,r2_center,bin_area,observed_count,observed_probability,observed_density,expected_probability,expected_density,expected_count,standardized_residual
0.0,0.02,0.01,0.92,0.9400000000000001,0.93,0.00040000000000000034,0,0.0,0.0,0.0,0.0,0.0,
0.0,0.02,0.01,0.9400000000000001,0.96,0.95,0.0003999999999999981,0,0.0,0.0,0.0,0.0,0.0,
0.0,0.02,0.01,0.96,0.98,0.97,0.00040000000000000034,0,0.0,0.0,0.0,0.0,0.0,
0.0,0.02,0.01,0.98,1.0,0.99,0.00040000000000000034,27,0.00027,0.6749999999999994,0.00036030204650625843,0.9007551162656453,36.03020465062584,-1.5044031300529068
0.02,0.04,0.03,0.0,0.02,0.01,0.0004,0,0.0,0.0,0.0,0.0,0.0,
0.02,0.04,0.03,0.02,0.04,0.03,0.0004,0,0.0,0.0,0.0,0.0,0.0,
0.02,0.04,0.03,0.04,0.06,0.05,0.00039999999999999996,0,0.0,0.0,0.0,0.0,0.0,
0.02,0.04,0.03,0.06,0.08,0.07,0.0004000000000000001,0,0.0,0.0,0.0,0.0,0.0,
0.02,0.04,0.03,0.08,0.1,0.09,0.0004000000000000001,0,0.0,0.0,0.0,0.0,0.0,
0.02,0.04,0.03,0.1,0.12,0.11,0.0003999999999999998,0,0.0,0.0,0.0,0.0,0.0,
0.02,0.04,0.03,0.12,0.14,0.13,0.00040000000000000034,0,0.0,0.0,0.0,0.0,0.0,
0.02,0.04,0.03,0.14,0.16,0.15000000000000002,0.0003999999999999998,0,0.0,0.0,0.0,0.0,0.0,
0.02,0.04,0.03,0.16,0.18,0.16999999999999998,0.0003999999999999998,0,0.0,0.0,0.0,0.0,0.0,
0.02,0.04,0.03,0.18,0.2,0.19,0.00040000000000000034,0,0.0,0.0,0.0,0.0,0.0,
0.02,0.04,0.03,0.2,0.22,0.21000000000000002,0.0003999999999999998,0,0.0,0.0,0.0,0.0,0.0,
0.02,0.04,0.03,0.22,0.24,0.22999999999999998,0.0003999999999999998,0,0.0,0.0,0.0,0.0,0.0,
0.02,0.04,0.03,0.24,0.26,0.25,0.00040000000000000034,0,0.0,0.0,0.0,0.0,0.0,
0.02,0.04,0.03,0.26,0.28,0.27,0.00040000000000000034,0,0.0,0.0,0.0,0.0,0.0,
0.02,0.04,0.03,0.28,0.3,0.29000000000000004,0.00039999999999999926,0,0.0,0.0,0.0,0.0,0.0,
0.02,0.04,0.03,0.3,0.32,0.31,0.00040000000000000034,0,0.0,0.0,0.0,0.0,0.0,
0.02,0.04,0.03,0.32,0.34,0.33,0.00040000000000000034,0,0.0,0.0,0.0,0.0,0.0,
0.02,0.04,0.03,0.34,0.36,0.35,0.00039999999999999926,0,0.0,0.0,0.0,0.0,0.0,
0.02,0.04,0.03,0.36,0.38,0.37,0.00040000000000000034,0,0.0,0.0,0.0,0.0,0.0,
0.02,0.04,0.03,0.38,0.4,0.39,0.00040000000000000034,0,0.0,0.0,0.0,0.0,0.0,
0.02,0.04,0.03,0.4,0.42,0.41000000000000003,0.00039999999999999926,0,0.0,0.0,0.0,0.0,0.0,
0.02,0.04,0.03,0.42,0.44,0.43,0.00040000000000000034,0,0.0,0.0,0.0,0.0,0.0,
0.02,0.04,0.03,0.44,0.46,0.45,0.00040000000000000034,0,0.0,0.0,0.0,0.0,0.0,
0.02,0.04,0.03,0.46,0.48,0.47,0.00039999999999999926,0,0.0,0.0,0.0,0.0,0.0,
0.02,0.04,0.03,0.48,0.5,0.49,0.00040000000000000034,0,0.0,0.0,0.0,0.0,0.0,
0.02,0.04,0.03,0.5,0.52,0.51,0.00040000000000000034,0,0.0,0.0,0.0,0.0,0.0,
0.02,0.04,0.03,0.52,0.54,0.53,0.00040000000000000034,0,0.0,0.0,0.0,0.0,0.0,
0.02,0.04,0.03,0.54,0.56,0.55,0.00040000000000000034,0,0.0,0.0,0.0,0.0,0.0,
0.02,0.04,0.03,0.56,0.58,0.5700000000000001,0.0003999999999999981,0,0.0,0.0,0.0,0.0,0.0,
0.02,0.04,0.03,0.58,0.6,0.59,0.00040000000000000034,0,0.0,0.0,0.0,0.0,0.0,
0.02,0.04,0.03,0.6,0.62,0.61,0.00040000000000000034,0,0.0,0.0,0.0,0.0,0.0,
0.02,0.04,0.03,0.62,0.64,0.63,0.00040000000000000034,0,0.0,0.0,0.0,0.0,0.0,
0.02,0.04,0.03,0.64,0.66,0.65,0.00040000000000000034,0,0.0,0.0,0.0,0.0,0.0,
0.02,0.04,0.03,0.66,0.68,0.67,0.00040000000000000034,0,0.0,0.0,0.0,0.0,0.0,
0.02,0.04,0.03,0.68,0.7000000000000001,0.6900000000000001,0.00040000000000000034,0,0.0,0.0,0.0,0.0,0.0,
0.02,0.04,0.03,0.7000000000000001,0.72,0.71,0.0003999999999999981,0,0.0,0.0,0.0,0.0,0.0,
